Record_ID,Tenure,Late_Payments,Revenue
R000001,49,1,6428.4
R000002,36,1,1574.79
R000003,13,0,2537.64
R000004,28,0,11082.97
R000005,7,1,10852.17
R000006,19,1,9280.41
R000007,26,0,2488.94
R000008,18,0,709.64
R000009,23,1,7426.13
R000010,21,3,14645.58
R000011,29,2,7126.99
R000012,35,0,14244.78
R000013,39,3,6245.23
R000014,6,5,4543.5
R000015,41,0,9808.57
R000016,49,3,4297.54
R000017,55,0,1808.69
R000018,44,0,14066.79
R000019,52,0,11000.55
R000020,52,1,9910.03
R000021,13,0,3676.2
R000022,4,7,6038.66
R000023,11,0,2625.22
R000024,60,1,8656.35
R000025,47,0,5888.79
R000026,49,2,4161.52
R000027,8,0,13150.31
R000028,52,0,13300.82
R000029,33,0,9931.22
R000030,5,1,11073.29
R000031,60,0,4037.34
R000032,38,1,10404.12
R000033,50,0,14904.7
R000034,28,4,10184.45
R000035,1,0,5636.35
R000036,35,0,4136.44
R000037,34,4,3604.31
R000038,37,0,4369.5
R000039,45,1,7648.07
R000040,32,2,6064.19
R000041,31,3,4456.76
R000042,25,0,6208.7
R000043,35,0,5677.89
R000044,15,3,3968.68
R000045,30,0,1877.97
R000046,16,0,10414.53
R000047,6,4,10948.24
R000048,27,0,348.07
R000049,9,1,8429.17
R000050,58,6,5978.98
R000051,31,1,12911.03
R000052,34,0,5931.05
R000053,12,0,14201.72
R000054,46,1,12880.55
R000055,24,0,7382.32
R000056,38,2,10201.11
R000057,35,0,4756.94
R000058,50,1,2330.25
R000059,55,0,11236.96
R000060,47,1,7693.08
R000061,20,2,6623.1
R000062,30,2,12005.67
R000063,25,1,5536.45
R000064,20,2,10426.89
R000065,56,2,7041.59
R000066,48,0,11095.94
R000067,30,2,3950.92
R000068,17,1,12083.42
R000069,16,1,10086.99
R000070,35,0,11914.99
R000071,3,1,453.34
R000072,22,2,4309.7
R000073,10,5,7814.85
R000074,46,5,10086.76
R000075,34,0,1524.38
R000076,38,2,4913.66
R000077,59,0,3274.03
R000078,1,2,160.09
R000079,29,1,797.49
R000080,9,1,556.35
R000081,12,2,8049.82
R000082,58,5,1367.13
R000083,7,0,1304.88
R000084,20,2,9329.22
R000085,4,8,9037.25
R000086,37,0,7864.75
R000087,52,8,14079.84
R000088,55,6,4677.76
R000089,50,6,3769.53
R000090,4,3,3883.12
R000091,55,1,3588.3
R000092,24,4,8116.18
R000093,42,4,2779.15
R000094,43,1,6005.86
R000095,35,4,1990.28
R000096,46,0,6104.9
R000097,37,2,11419.63
R000098,5,1,10484.92
R000099,8,2,13604.86
R000100,10,3,6087.61
R000101,53,0,5389.24
R000102,6,3,12618.02
R000103,28,1,12788.44
R000104,40,2,7204.0
R000105,12,0,6526.1
R000106,50,0,1415.7
R000107,8,0,7456.34
R000108,45,2,3388.88
R000109,15,0,9426.03
R000110,36,5,8957.42
R000111,23,0,8102.11
R000112,14,3,9481.65
R000113,27,3,2187.97
R000114,20,1,7317.93
R000115,14,1,8024.29
R000116,24,1,10603.42
R000117,21,0,3389.54
R000118,29,4,14074.44
R000119,45,0,675.63
R000120,38,0,7058.79
R000121,4,0,11093.52
R000122,36,0,5702.0
R000123,60,7,14866.14
R000124,8,3,7399.39
R000125,5,1,10527.35
R000126,35,2,14738.05
R000127,50,0,11341.58
R000128,13,3,10587.1
